iter	Passed	Remaining
0	186	186736
1	202	100976
2	212	70492
3	222	55312
4	232	46250
5	243	40277
6	251	35644
7	264	32738
8	273	30072
9	281	27865
10	290	26107
11	298	24589
12	307	23344
13	315	22228
14	324	21293
15	332	20443
16	341	19723
17	349	19052
18	357	18478
19	367	17987
20	376	17574
21	386	17203
22	395	16807
23	405	16490
24	414	16172
25	425	15925
26	434	15672
27	443	15397
28	453	15187
29	461	14929
30	471	14738
31	479	14508
32	492	14443
33	502	14269
34	510	14072
35	519	13902
36	527	13727
37	536	13572
38	544	13415
39	553	13273
40	561	13127
41	576	13145
42	587	13078
43	596	12965
44	605	12845
45	615	12756
46	623	12652
47	634	12584
48	642	12474
49	653	12423
50	663	12345
51	672	12263
52	681	12183
53	690	12089
54	698	12007
55	707	11918
56	715	11841
57	723	11758
58	732	11684
59	740	11605
60	749	11534
61	757	11462
62	766	11400
63	775	11340
64	784	11279
65	792	11221
66	801	11165
67	811	11122
68	819	11062
69	829	11016
70	837	10956
71	846	10906
72	854	10850
73	863	10801
74	871	10747
75	880	10705
76	889	10662
77	897	10610
78	906	10569
79	914	10518
80	923	10476
81	931	10428
82	940	10388
83	948	10342
84	957	10311
85	965	10266
86	975	10240
87	985	10208
88	994	10179
89	1003	10141
90	1011	10106
91	1020	10076
92	1029	10037
93	1038	10006
94	1046	9969
95	1055	9937
96	1063	9900
97	1072	9871
98	1080	9836
99	1090	9810
100	1098	9775
101	1108	9758
102	1120	9754
103	1128	9726
104	1139	9713
105	1150	9705
106	1161	9691
107	1174	9703
108	1185	9693
109	1195	9673
110	1207	9669
111	1217	9653
112	1228	9642
113	1239	9630
114	1249	9619
115	1260	9606
116	1272	9606
117	1287	9625
118	1300	9625
119	1312	9626
120	1324	9620
121	1336	9619
122	1349	9622
123	1359	9605
124	1372	9606
125	1384	9604
126	1393	9577
127	1402	9551
128	1410	9525
129	1419	9502
130	1428	9478
131	1437	9452
132	1483	9668
133	1494	9656
134	1503	9633
135	1514	9620
136	1523	9598
137	1541	9625
138	1551	9612
139	1561	9592
140	1569	9564
141	1579	9542
142	1587	9514
143	1596	9493
144	1605	9466
145	1626	9515
146	1637	9501
147	1652	9515
148	1661	9492
149	1670	9465
150	1679	9445
151	1688	9418
152	1697	9396
153	1706	9373
154	1715	9350
155	1724	9331
156	1733	9309
157	1743	9293
158	1752	9267
159	1762	9252
160	1771	9231
161	1781	9215
162	1792	9202
163	1800	9180
164	1811	9167
165	1823	9159
166	1831	9136
167	1842	9124
168	1851	9105
169	1876	9161
170	1895	9187
171	1914	9217
172	1932	9239
173	1944	9229
174	1953	9210
175	1961	9184
176	1970	9164
177	1979	9139
178	1987	9117
179	1996	9093
180	2005	9072
181	2013	9049
182	2022	9027
183	2030	9003
184	2038	8981
185	2047	8960
186	2056	8938
187	2065	8919
188	2073	8895
189	2081	8875
190	2089	8852
191	2098	8832
192	2107	8812
193	2116	8792
194	2125	8773
195	2135	8758
196	2143	8736
197	2152	8720
198	2161	8699
199	2170	8680
200	2188	8699
201	2197	8680
202	2205	8659
203	2214	8640
204	2222	8619
205	2231	8599
206	2249	8616
207	2257	8596
208	2266	8577
209	2274	8556
210	2289	8562
211	2311	8590
212	2319	8571
213	2328	8554
214	2337	8533
215	2347	8520
216	2356	8501
217	2365	8485
218	2373	8465
219	2382	8446
220	2391	8429
221	2399	8409
222	2408	8391
223	2416	8372
224	2425	8355
225	2433	8335
226	2442	8318
227	2450	8298
228	2460	8282
229	2468	8263
230	2477	8246
231	2485	8227
232	2494	8210
233	2502	8193
234	2525	8220
235	2533	8201
236	2544	8190
237	2552	8171
238	2564	8164
239	2575	8154
240	2583	8137
241	2594	8127
242	2603	8110
243	2614	8100
244	2625	8090
245	2633	8071
246	2676	8160
247	2693	8168
248	2709	8171
249	2721	8163
250	2730	8147
251	2739	8130
252	2747	8111
253	2756	8095
254	2764	8076
255	2772	8058
256	2781	8040
257	2789	8022
258	2797	8004
259	2805	7985
